,id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label,car_maker,Color Dutch,Color English,class,average price,car_make,country,class_rank
671,853,3 (2K-5K),chevrolet,2011,71400,68.0,hatchback,rood,benzine,Handgeschakeld,5.0,4.0,995.0,839.0,,,,23.0,Euro5,0,0,0,0,0,0,0,0,0,1,1,1,0,0,chevrolet,rood,Red,3 (2K-5K),2500.0,chevrolet,United States,3
672,854,3 (2K-5K),volkswagen,2005,279576,140.0,stationwagon,grijs,diesel,Automaat,4.0,4.0,1968.0,1567.0,10.3,198.0,5.0,80.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,grijs,Gray,3 (2K-5K),2500.0,volkswagen,Germany,3
673,855,2 (1K-2K),renault,2005,208806,86.0,mpv,beige,diesel,Handgeschakeld,5.0,4.0,1461.0,1315.0,14.6,168.0,5.0,41.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,renault,beige,Beige,2 (1K-2K),1500.0,renault,France,2
674,857,2 (1K-2K),daewoo,2002,110541,52.0,hatchback,groen,benzine,Handgeschakeld,5.0,3.0,796.0,751.0,17.6,144.0,5.0,64.0,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,daewoo,groen,Green,2 (1K-2K),1500.0,daewoo,South Korea,2
675,858,3 (2K-5K),toyota,2009,96188,68.0,hatchback,groen,benzine,Handgeschakeld,5.0,3.0,998.0,805.0,14.2,157.0,4.0,10.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toyota,groen,Green,3 (2K-5K),2500.0,toyota,Japan,3
676,859,3 (2K-5K),toyota,1996,236311,129.0,terreinwagen,zwart,benzine,4 versnellingen,3.0,4.0,1998.0,1125.0,10.1,170.0,5.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,toyota,zwart,Black,3 (2K-5K),2500.0,toyota,Japan,3
677,860,4 (5K-10K),kia,2015,58879,69.0,hatchback,wit,benzine,Handgeschakeld,5.0,3.0,998.0,820.0,14.0,153.0,5.0,262.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kia,wit,White,4 (5K-10K),7500.0,kia,South Korea,4
678,861,5 (10K-15K),bmw,2011,112180,143.0,sedan,zwart,benzine,Automaat,5.0,4.0,1995.0,,,,5.0,1.0,,0,0,0,0,0,0,0,0,1,1,1,0,0,1,bmw,zwart,Black,,,bmw,Germany,5
679,863,3 (2K-5K),ford,2003,164951,95.0,cabriolet,grijs,benzine,Handgeschakeld,2.0,4.0,1600.0,1036.0,12.1,173.0,2.0,93.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ford,grijs,Gray,3 (2K-5K),2500.0,ford,United States,3
680,864,2 (1K-2K),citroen,2002,254325,109.0,hatchback,blauw,benzine,Handgeschakeld,5.0,4.0,1587.0,1116.0,97.0,,5.0,64.0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,citroen,blauw,Blue,2 (1K-2K),1500.0,citroen,France,2
681,865,3 (2K-5K),opel,2003,340690,126.0,hatchback,grijs,diesel,Handgeschakeld,4.0,,2172.0,1403.0,99.9,,5.0,65.0,Euro3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,opel,grijs,Gray,3 (2K-5K),2500.0,opel,Germany,3
682,866,1 (< 1K),saab,2001,434188,250.0,sedan,grijs,benzine,Automaat,4.0,4.0,2290.0,1545.0,8.2,250.0,5.0,136.0,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,saab,grijs,Gray,1 (< 1K),500.0,saab,Sweden,1
683,867,6 (> 15K),volvo,2014,148633,191.0,hatchback,wit,diesel,Handgeschakeld,5.0,4.0,1969.0,1363.0,7.5,190.0,5.0,252.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volvo,wit,White,6 (> 15K),,volvo,South Korea,6
684,868,6 (> 15K),volkswagen,2014,84778,230.0,hatchback,wit,benzine,Automaat,5.0,4.0,1984.0,1302.0,6.4,248.0,5.0,51.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,volkswagen,wit,White,6 (> 15K),,volkswagen,Germany,6
685,869,2 (1K-2K),fiat,2004,281858,204.0,mpv,grijs,benzine,Automaat,5.0,6.0,2946.0,1759.0,10.0,205.0,6.0,178.0,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fiat,grijs,Gray,2 (1K-2K),1500.0,fiat,Italy,2
686,871,1 (< 1K),renault,1997,227742,,cabriolet,blauw,benzine,Handgeschakeld,2.0,4.0,,1080.0,99.9,,4.0,1.0,,1,0,0,0,0,0,0,1,0,0,1,0,0,1,renault,blauw,Blue,1 (< 1K),500.0,renault,France,1
687,872,4 (5K-10K),toyota,2010,187990,126.0,stationwagon,grijs,diesel,Handgeschakeld,5.0,4.0,1998.0,1495.0,10.0,200.0,5.0,46.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toyota,grijs,Gray,4 (5K-10K),7500.0,toyota,Japan,4
688,873,1 (< 1K),suzuki,2001,94591,53.0,hatchback,grijs,benzine,Handgeschakeld,3.0,3.0,993.0,720.0,15.9,145.0,5.0,34.0,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suzuki,grijs,Gray,1 (< 1K),500.0,suzuki,Japan,1
689,874,3 (2K-5K),bmw,2001,307470,192.0,stationwagon,blauw,benzine,Automaat,4.0,6.0,2494.0,1610.0,93.0,,5.0,155.0,Euro3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,bmw,blauw,Blue,3 (2K-5K),2500.0,bmw,Germany,3
690,875,3 (2K-5K),seat,2009,73623,69.0,hatchback,zwart,benzine,Handgeschakeld,3.0,3.0,1198.0,974.0,15.0,,,1.0,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,seat,zwart,Black,3 (2K-5K),2500.0,seat,Spain,3
691,876,3 (2K-5K),opel,2005,209891,90.0,cabriolet,blauw,benzine,Handgeschakeld,2.0,,1364.0,1135.0,99.9,180.0,2.0,50.0,Euro4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,opel,blauw,Blue,3 (2K-5K),2500.0,opel,Germany,3
692,877,4 (5K-10K),škoda,2010,139943,105.0,,grijs,benzine,Handgeschakeld,,4.0,1197.0,1240.0,11.8,175.0,5.0,53.0,Euro5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,skoda,grijs,Gray,4 (5K-10K),7500.0,skoda,Czech Republic,4
693,878,3 (2K-5K),kia,2009,246125,116.0,stationwagon,zwart,diesel,Handgeschakeld,5.0,4.0,1582.0,1319.0,11.7,188.0,5.0,32.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,kia,zwart,Black,3 (2K-5K),2500.0,kia,South Korea,3
694,879,4 (5K-10K),peugeot,2010,192429,120.0,stationwagon,grijs,lpg g3,Handgeschakeld,5.0,4.0,1598.0,1223.0,10.6,200.0,5.0,44.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,peugeot,grijs,Gray,4 (5K-10K),7500.0,peugeot,France,4
695,881,1 (< 1K),hyundai,2002,301196,103.0,stationwagon,blauw,benzine,Handgeschakeld,4.0,4.0,1599.0,1223.0,12.7,170.0,5.0,95.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hyundai,blauw,Blue,1 (< 1K),500.0,hyundai,South Korea,1
696,882,5 (10K-15K),volkswagen,2013,88081,105.0,mpv,grijs,diesel,Handgeschakeld,5.0,4.0,1598.0,1444.0,13.0,186.0,5.0,25.0,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,grijs,Gray,,,volkswagen,Germany,5
697,883,3 (2K-5K),alfa,1998,237095,190.0,sedan,grijs,benzine,Handgeschakeld,4.0,6.0,2492.0,1295.0,7.0,230.0,5.0,1.0,Euro2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alfa,grijs,Gray,3 (2K-5K),2500.0,alfa,Italy,3
698,884,4 (5K-10K),opel,2007,115900,80.0,hatchback,zwart,benzine,Handgeschakeld,5.0,4.0,1229.0,1060.0,13.9,168.0,5.0,43.0,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opel,zwart,Black,4 (5K-10K),7500.0,opel,Germany,4
