,id,price_category,make,year,mileage,power,car_type,color,fuel_type,transmission,n_doors,n_cylinders,displacement,dry_weight,acceleration,top_speed,n_seats,emission,emission_label,flg_missing_power,flg_missing_car_type,flg_missing_color,flg_missing_fuel_type,flg_missing_transmission,flg_missing_n_doors,flg_missing_n_cylinders,flg_missing_displacement,flg_missing_dry_weight,flg_missing_acceleration,flg_missing_top_speed,flg_missing_n_seats,flg_missing_emission,flg_missing_emission_label,car_maker,Color Dutch,Color English,class,average price,car_make,country
74,89,4 (5K-10K),toyota,2007,172107,87,hatchback,grijs,benzine,Automaat,5,4,1296,,,170,5,1,,0,0,0,0,0,0,0,0,1,1,0,0,0,1,toyota,grijs,Gray,4 (5K-10K),7500.0,toyota,Japan
75,90,6 (> 15K),audi,2011,97952,160,cabriolet,grijs,benzine,Handgeschakeld,2,4,1798,1285,7.0,223,2,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audi,grijs,Gray,6 (> 15K),,audi,Germany
76,91,4 (5K-10K),bmw,2010,83769,116,hatchback,blauw,diesel,Handgeschakeld,5,4,1995,,10.3,200,5,22,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,bmw,blauw,Blue,4 (5K-10K),7500.0,bmw,Germany
77,92,3 (2K-5K),toyota,2003,183407,110,mpv,grijs,benzine,Handgeschakeld,5,4,1598,1170,11.4,180,5,78,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toyota,grijs,Gray,3 (2K-5K),2500.0,toyota,Japan
78,94,3 (2K-5K),toyota,2001,138868,86,mpv,blauw,benzine,Handgeschakeld,5,4,1299,975,12.5,165,5,59,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,toyota,blauw,Blue,3 (2K-5K),2500.0,toyota,Japan
79,96,2 (1K-2K),renault,2002,247547,120,stationwagon,grijs,benzine,Handgeschakeld,5,4,1783,1290,10.9,200,5,88,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,renault,grijs,Gray,2 (1K-2K),1500.0,renault,France
80,98,3 (2K-5K),opel,2005,221654,81,hatchback,grijs,benzine,Automaat,4,,1229,935,99.9,,5,31,Euro4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,opel,grijs,Gray,3 (2K-5K),2500.0,opel,Germany
81,99,2 (1K-2K),daihatsu,2001,158743,56,hatchback,groen,benzine,Handgeschakeld,5,3,989,790,15.0,140,4,40,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,daihatsu,groen,Green,2 (1K-2K),1500.0,daihatsu,Japan
82,100,4 (5K-10K),citroen,2012,70104,73,mpv,grijs,benzine,Handgeschakeld,5,4,1360,1155,16.2,155,5,56,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,citroen,grijs,Gray,4 (5K-10K),7500.0,citroen,France
83,101,5 (10K-15K),bmw,2008,265746,237,,zwart,diesel,Automaat,5,6,2993,2050,8.0,216,5,118,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,bmw,zwart,Black,,,bmw,Germany
84,102,4 (5K-10K),renault,2008,92458,113,mpv,zwart,benzine,Handgeschakeld,5,4,1598,1295,12.5,185,5,86,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,renault,zwart,Black,4 (5K-10K),7500.0,renault,France
85,103,4 (5K-10K),seat,2006,81374,,hatchback,beige,benzine,Handgeschakeld,5,,,,,,5,1,,1,0,0,0,0,0,1,1,1,1,1,0,0,1,seat,beige,Beige,4 (5K-10K),7500.0,seat,Spain
86,105,2 (1K-2K),volkswagen,2004,250584,116,hatchback,zwart,benzine,Handgeschakeld,2,4,1598,1159,10.8,192,5,62,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,zwart,Black,2 (1K-2K),1500.0,volkswagen,Germany
87,106,6 (> 15K),bmw,2014,166102,136,stationwagon,grijs,benzine,Automaat,5,4,1598,1445,9.0,210,5,42,Euro6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw,grijs,Gray,6 (> 15K),,bmw,Germany
88,107,1 (< 1K),suzuki,2000,141373,54,hatchback,groen,benzine,Handgeschakeld,4,4,993,725,15.5,150,5,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suzuki,groen,Green,1 (< 1K),500.0,suzuki,Japan
89,109,4 (5K-10K),volvo,2011,172453,109,sedan,zwart,diesel,Handgeschakeld,4,4,1560,1455,12.0,190,5,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,volvo,zwart,Black,4 (5K-10K),7500.0,volvo,South Korea
90,110,3 (2K-5K),alfa,1996,139516,,cabriolet,zwart,benzine,Handgeschakeld,2,4,,,,,,1,,1,0,0,0,0,0,0,1,1,1,1,1,0,1,alfa,zwart,Black,3 (2K-5K),2500.0,alfa,Italy
91,111,3 (2K-5K),smart,2011,92552,61,hatchback,zwart,benzine,Automaat,3,3,999,725,16.7,145,2,264,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,smart,zwart,Black,3 (2K-5K),2500.0,smart,Germany
92,112,4 (5K-10K),opel,2011,44656,68,stationwagon,blauw,benzine,Handgeschakeld,5,3,996,950,99.9,160,5,13,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,opel,blauw,Blue,4 (5K-10K),7500.0,opel,Germany
93,114,1 (< 1K),suzuki,1998,269554,86,stationwagon,rood,benzine,Handgeschakeld,5,4,1298,965,,,5,1,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,suzuki,rood,Red,1 (< 1K),500.0,suzuki,Japan
94,115,3 (2K-5K),volkswagen,2003,253689,131,hatchback,blauw,diesel,Handgeschakeld,5,4,1896,1240,8.7,205,5,44,Euro3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,volkswagen,blauw,Blue,3 (2K-5K),2500.0,volkswagen,Germany
95,116,3 (2K-5K),volkswagen,2005,164114,54,hatchback,rood,benzine,,3,3,1198,973,17.5,148,4,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,volkswagen,rood,Red,3 (2K-5K),2500.0,volkswagen,Germany
96,117,5 (10K-15K),seat,2011,138658,120,stationwagon,grijs,benzine,Handgeschakeld,5,4,1798,1455,11.1,202,5,76,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,seat,grijs,Gray,,,seat,Spain
97,119,4 (5K-10K),land-rover,2000,267139,98,terreinwagen,beige,diesel,Handgeschakeld,3,4,1998,1455,,,4,1,,0,0,0,0,0,0,0,0,0,1,1,0,0,1,land-rover,beige,Beige,4 (5K-10K),7500.0,land-rover,United Kingdom
98,120,1 (< 1K),renault,2007,91554,75,hatchback,geel,benzine,Handgeschakeld,5,4,1149,940,13.0,170,5,46,Euro4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,renault,geel,Yellow,1 (< 1K),500.0,renault,France
99,122,4 (5K-10K),opel,2012,122808,85,hatchback,grijs,lpg g3,Handgeschakeld,3,4,1229,1063,14.7,168,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,opel,grijs,Gray,4 (5K-10K),7500.0,opel,Germany
100,123,2 (1K-2K),mazda,2003,255000,120,stationwagon,grijs,benzine,Handgeschakeld,5,4,1798,1310,11.2,192,,245,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,mazda,grijs,Gray,2 (1K-2K),1500.0,mazda,Japan
101,124,6 (> 15K),bmw,2014,165012,143,stationwagon,grijs,diesel,Automaat,5,4,1995,1475,9.2,210,5,27,Euro5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bmw,grijs,Gray,6 (> 15K),,bmw,Germany
